Company Name,Assets (PHP),Total Projects,Address,Date of Birth
Golden Infrastructure,199482134,27,Bacolod,"June 9, 1979"
Prime Developers,389302134,146,,1971/07/01
Southern Infrastructure,301982134,54,Baguio,08/18/1980
Pacific Group,250982134,84,,"December 22, 1995"
Northern Works,340982134,38,Makati,1962/04/16
Trust Contractors,198302134,72,Cagayan de Oro,1983/01/04
Bravo Works,267982134,98,General Santos,11/02/1994
Delta Infrastructure,356982134,36,,09/13/1978
Skyline Contractors,210982134,66,Bacolod,"June 22, 1987"
Silverline Group,390982134,74,Davao City,03-05-1968
Eastern Group,284982134,56,Zamboanga,"August 30, 1975"
Western Works,187982134,127,,1992/12/02
Alpha Contractors,354982134,43,Cebu City,07/20/1963
Golden Developers,202982134,78,Iloilo,"April 11, 1967"
United Group,395982134,90,,01-12-1981
Bluewave Works,198302134,102,Makati,"September 8, 1972"
Summit Infrastructure,349482134,29,Davao City,1999/07/16
Prime Holdings,220982134,40,,06/21/1964
Pacific Developers,365982134,68,Bacolod,12/30/1986
Southern Group,219482134,107,Cagayan de Oro,05/14/1991
Northern Builders,376982134,88,,"January 3, 1970"
Trust Group,200982134,97,Baguio,1978/08/09
Bravo Group,329482134,115,Zamboanga,04/22/1966
Delta Contractors,278302134,50,,"May 27, 1961"
Golden Works,256982134,120,Makati,10/05/1985
Skyline Group,389302134,71,Iloilo,"July 4, 1974"
Silverline Contractors,283094852,93,Cebu City,11/14/1968
Alpha Developers,210982134,58,,1989/03/19
Eastern Works,356982134,85,Davao City,"March 8, 1960"
Western Contractors,190482134,33,,09-21-1990
Greenfield Infrastructure,378302134,122,Quezon City,07/13/1966
Bluewave Infrastructure,212983094,65,General Santos,1985/02/27
Summit Developers,398302134,48,Baguio,"June 29, 1971"
Prime Works,203982134,100,Zamboanga,04-06-1973
United Developers,250982134,81,Makati,"July 27, 1962"
Southern Works,342982134,19,,11/15/1965
Pacific Infrastructure,298302134,117,Iloilo,"August 19, 1979"
Golden Developers,283094852,77,Bacolod,1972/12/06
Silverline Developers,265982134,128,Davao City,1964/05/17
Trust Developers,354982134,55,Cebu City,"October 29, 1982"
Skyline Developers,398302134,96,,02/04/1988
Bravo Developers,223094852,47,Baguio,1968/08/14
Delta Developers,370982134,138,,"January 22, 1977"
Alpha Developers,219482134,86,Zamboanga,09-11-1961
United Developers,305982134,109,Makati,11/07/1993
Golden Developers,287982134,64,Bacolod,03/15/1965
Pacific Developers,212983094,121,Davao City,"September 30, 1986"
Southern Developers,389302134,35,Cebu City,08/19/1960
Western Developers,275982134,99,,1974/01/25
Eastern Developers,365982134,140,Iloilo,06/22/1981
Northern Developers,298302134,113,General Santos,"October 2, 1998"
Greenfield Developers,354982134
