Foundation_Name,Owner/Founder,Founding_Date,Location,Assets_PHP,No_of_Members,Type_of_Foundation
Pag-ibig Initiative,Miguel Lopez,1998-09-07,Malaybalay,729359,299,Charitable
Tulong Center,Pedro Torres,2004-05-13,Tagum,241553,32,Research
Bagong Community Trust,Roberto Reyes,2007-03-22,Olongapo,213333,33,Community Development
Makabayan Council,Emilio Aquino,1975-08-03,Bacolod,426178,47,Educational
Haraya Project,Rico Navarro,2022-05-27,Tagum,135833,17,Religious
Tatak Foundation for Youth of San Pablo,Lea Dela Cruz,2001-07-23,Mandaluyong,156138,26,Religious
Tatak Project,Aileen Sison,2007-08-05,Malaybalay,863341,73,Charitable
Pamana Charitable Foundation - Ortega,Rico Torres,2013-10-20,Iloilo City,408100,87,Community Development
Paglaum Project,Lea Dela Cruz,2004-11-20,Naga,121833,10,Health
Dangal Foundation for Education,Jocelyn Mendoza,1984-10-22,Cavite City,880142,29,Community Development
Bagong Foundation for Youth,Grace Dela Cruz,2005-05-08,Roxas,242262,42,Health
Bukas Foundation for Education,Juan Reyes,2008-06-14,Taguig,1426031,145,Charitable
Lingap Alliance of San Pablo,Ramon Rodriguez,2010-10-17,Rizal,607744,17,Educational
Makabayan Charitable Foundation #127,Rico Mendoza,1994-12-18,Puerto Princesa,1246842,22,Charitable
Haraya Alliance,Carlos Reyes,2012-03-12,Quezon City,434228,46,Human Rights
Gabay Council,Maria Dizon,1990-02-12,Capiz,175440,200,Community Development
Tulong Charitable Foundation #130,Daniel Santos,1972-10-13,Makati,2473859,977,Community Development
Kalinga Society,Juan Ortega,1983-09-03,Makati,50000,5,Educational
Dangal Trust - Salvador,Roberto Padilla,1992-12-27,Vigan,279651,36,Charitable
Kaagapay Foundation for Youth of Ilagan,Ruben Gonzales,1984-09-10,Mandaluyong,50000,25,Community Development
Pag-asa Foundation for Youth,Juan Abalos,1997-12-27,Dipolog,130102,38,Human Rights
Dangal Help Fund,Antonio Mendoza,1987-10-17,Cebu City,312222,16,Charitable
Bukas Community Trust,Carlos Navarro,1991-10-15,Antipolo,753869,44,Environmental
Malasakit Charitable Foundation,Rosa Manalo,2023-11-13,Pasig,89408,21,Charitable
Bukas Charitable Foundation,Maria Dizon,2017-10-17,Tacloban,820761,31,Community Development
Dangal Fund #139,Jose Delgado,2000-08-12,Manila,85664,12,Community Development
Aklat Trust of Tacloban,Teresa Navarro,2011-03-31,Bayawan,309364,12,Charitable
Bagong Project,Liza Bautista,2016-10-22,Capiz,50000,35,Environmental
Paglaum Foundation for Youth,Jocelyn Abalos,2018-04-13,Vigan,148335,21,Health
Haraya Society - Bautista,Francis Velasco,1998-12-01,Makati,634239,19,Educational
Tulong Alliance #144,Rico Padilla,1991-11-17,Puerto Princesa,371836,29,Community Development
Gabayan Foundation for Youth #145,Evelyn Ramos,2004-01-01,Naga,469925,69,Environmental
Bayan Network,Aileen Lopez,1986-04-25,Angeles City,292507,815,Charitable
Paglaum Fund of Baguio,Rico Ortega,1994-10-14,Butuan,3663774,999,Health
Bayan Council,Roberto Reyes,1991-08-27,Sorsogon,360216,13,Arts & Culture
Haraya Network #149,Grace Navarro,1991-07-24,Tagum,1791247,129,Charitable
Aklat Foundation for Education,Ruben Villanueva,2010-03-17,Quezon City,401267,24,Educational
Tulong Alliance #151,Cristina Mendoza,1991-10-30,Mandaluyong,702190,15,Microfinance
Dangal Foundation for Youth,Teresa Villanueva,2019-08-28,Mandaue,1153464,190,Religious
Sigla Project,Maya Cruz,1999-09-05,Batangas City,728173,134,Environmental
Tahanan Trust - Bautista,Roberto Lopez,1980-09-22,Ilagan,834848,15,Health
Pamana Charitable Foundation,Ruben Fernandez,1987-03-09,Bacolod,98325,80,Charitable
Gabay Network #156,Miguel Bautista,2022-11-23,Puerto Princesa,912773,462,Charitable
Sulong Foundation for Youth,Rosa Gonzales,1987-06-01,Lipa,3403216,26,Educational
Tahanan Fund,Liza Villar,1971-04-09,Bayawan,1190393,9,Health
Pamana Center,Miguel Santos,1974-11-22,Butuan,498113,39,Charitable
Pag-ibig Community Trust,Pedro Navarro,2014-01-15,Antipolo,926299,45,Charitable
Pag-ibig Network of Marikina,Emilio Lopez,1986-07-17,Davao City,1169465,25,Charitable
Paglaum Society,Lea Gonzales,1975-11-12,Lucena,1137077,43,Religious
Aklat Trust,Francis Navarro,1974-10-23,Cagayan de Oro,630652,37,Charitable
Bagong Charitable Foundation #164,Francis Villar,1977-08-23,Makati,552860,43,Research
Tatak Project - Ortega,Evelyn Magbanua,2025-06-25,Iloilo City,208788,37,Community Development
Tatak Council #166,Antonio Padilla,2009-09-20,Mandaluyong,582981,37,Charitable
Bukas Project #167,Rosa Salvador,1975-05-28,San Fernando,5883248,35,Charitable
Tatak Initiative of Laguna,Roberto Velasco,1977-04-14,Paranaque,280174,42,Arts & Culture
Tahanan Center #169,Grace Reyes,1984-01-17,Manila,881022,28,Charitable
Haraya Network #170,Ruben Ortega,2012-02-28,Lipa,398424,33,Charitable
Lingap Initiative,Rosa Castillo,1995-05-14,Tagum,365005,24,Human Rights
Gabayan Trust,Ella Torres,1993-09-25,Laguna,2532906,10,Health
Bukas Foundation for Education #173,Jocelyn Abalos,1987-10-01,Tacloban,969476,145,Environmental
Pag-asa Council,Cristina Navarro,1983-05-15,Baguio,528563,1097,Community Development
Lingap Center of Mandaluyong,Evelyn Bautista,2021-01-24,Lipa,1447624,11,Community Development
Gabayan Community Trust - Villar,Ruben Mendoza,1994-06-04,Iligan,767616,48,Charitable
Pamana Network #177,Emilio Reyes,2023-08-27,Caloocan,2534988,49,Charitable
Haraya Community Trust,Ramon Ortega,1992-06-18,Quezon City,4226621,27,Environmental
Tulong Initiative,Ella Alcantara,2021-08-09,Roxas,232947,21,Environmental
Bayan Charitable Foundation,Ella Alcantara,1994-03-07,Dipolog,494357,28,Environmental
Lingap Charitable Foundation #181,Rogelio Fernandez,2012-03-18,Mandaue,1050640,14,Arts & Culture
Paglaum Center of Roxas,Carmen Navarro,2014-02-11,Zamboanga City,609908,148,Arts & Culture
Aklat Fund,Carmen Lopez,1998-10-21,Koronadal,277898,56,Microfinance
Pag-asa Society,Liza Lopez,2006-12-06,Tagum,1040285,12,Charitable
Aklat Alliance #185,Ella Mendoza,2019-05-09,Caloocan,563761,46,Environmental
Gabayan Trust #186,Ramon Velasco,1999-01-02,Pasig,737308,25,Educational
Sulong Society - Dela Cruz,Ella Manalo,2018-09-05,Cavite City,1269820,721,Community Development
Haraya Foundation,Roberto Delgado,2002-06-16,San Fernando,2232052,15,Charitable
Kapit-bisig Network of Puerto Princesa,Maria Rodriguez,1993-12-16,Butuan,2145721,33,Charitable
Bagong Help Fund,Rosa Padilla,2013-06-27,Pasig,961349,46,Environmental
Bayan Foundation for Education #191,Evelyn Magbanua,1991-06-21,Bayawan,1667069,9,Environmental
Sampaguita Alliance,Grace Dela Cruz,2019-07-19,Olongapo,50000,41,Educational
Tulong Initiative #193,Carlos Abalos,1980-03-06,Cavite City,794149,26,Charitable
Pag-asa Foundation for Education,Carlos Garcia,2014-09-17,Bayawan,3419253,41,Human Rights
Pag-ibig Council #195,Ruben Velasco,2007-04-11,Marikina,2786233,316,Environmental
Gabayan Council of Cagayan de Oro,Antonio Rodriguez,2023-10-10,Iligan,275398,61,Community Development
Gabay Help Fund,Pedro Manalo,1976-04-06,Baguio,1927996,157,Health
Haraya Fund - Abalos,Jocelyn Delgado,1993-12-20,Manila,760542,27,Charitable
Pag-ibig Community Trust #199,Rosa Alcantara,2022-08-28,Roxas,61497,49,Microfinance
Dangal Network #200,Aileen Garcia,2010-01-23,Malaybalay,5034831,89,Community Development
Aklat Fund #201,Ramon Cruz,2018-10-03,San Pablo,50062,9,Microfinance
Gabayan Help Fund,Ramon Manalo,1986-12-04,Tagum,1811335,48,Human Rights
Luntiang Initiative of Vigan,Carmen Santos,1998-07-19,Ilagan,1743370,48,Community Development
Aklat Community Trust,Marisol Magbanua,2004-03-15,San Pablo,293272,425,Charitable
Dangal Charitable Foundation,Carlos Navarro,1983-08-25,Angeles City,223546,20,Environmental
Lingap Center,Mark Salvador,1999-10-14,Antipolo,488434,29,Charitable
Gabayan Trust #207,Mark Abalos,2010-12-29,Manila,98029,45,Environmental
Gabay Center #208,Carmen Manalo,1983-11-07,Cebu City,159860,150,Charitable
Paglaum Fund - Ortega,Ruben Mendoza,1977-03-16,Naga,387306,15,Educational
Pamana Project of Rizal,Daniel Castillo,2013-10-11,Malaybalay,544604,77,Microfinance
Lingap Foundation for Youth #211,Jose Torres,1995-10-13,Iloilo City,150074,679,Educational
Gabay Trust #212,Carmen Gonzales,1979-01-07,Iloilo Province,5401295,54,Community Development
Sampaguita Community Trust,Rosa Sison,1972-08-06,Caloocan,109177,106,Environmental
Makabayan Charitable Foundation #214,Maria Villar,2002-02-28,Tarlac,7911424,34,Environmental
Haraya Center,Cristina Delgado,2006-12-20,Dipolog,192803,1464,Human Rights
Dangal Charitable Foundation #216,Liza Fernandez,1985-09-15,Zamboanga City,2080704,176,Microfinance
Luntiang Foundation for Youth of Cabuyao,Cristina Villanueva,2022-04-26,Cagayan de Oro,366749,34,Health
Tahanan Network,Daniel Velasco,2011-03-26,General Santos,945857,6,Arts & Culture
Dangal Foundation,Rico Magbanua,2011-09-28,Lipa,452966,1665,Charitable
Sampaguita Trust - Padilla,Teresa Salvador,1996-11-02,Laguna,377101,15,Educational
Haraya Community Trust #221,Miguel Padilla,1997-02-07,Valenzuela,514855,174,Microfinance
Luntiang Society,Lea Gonzales,1991-04-13,San Pablo,102703,154,Health
Bukas Fund,Francis Villar,1996-06-27,Quezon City,592598,38,Health
Paglaum Foundation of Dipolog,Aileen Ramos,1974-05-27,Ormoc,316178,37,Community Development
Gabay Network #225,Carlos Sison,1995-09-05,Vigan,197681,1399,Charitable
Tahanan Foundation for Youth,Jocelyn Dizon,1989-08-25,Laguna,248806,5,Health
Kalinga Foundation for Youth,Miguel Ramos,1982-04-09,Laguna,2591485,36,Health
Pag-asa Help Fund #228,Daniel Navarro,1973-07-15,Mandaluyong,2162408,146,Community Development
Gabayan Foundation,Francis Dizon,1981-10-16,Zamboanga City,1390947,27,Charitable
Pag-ibig Fund,Maya Aquino,1985-10-04,Valenzuela,687789,36,Microfinance
Sulong Council - Abalos,Miguel Alcantara,1984-10-05,General Santos,774862,1807,Charitable
Aklat Charitable Foundation #232,Rosa Bautista,2000-05-22,Pasig,548743,11,Charitable
Gabayan Trust #233,Pedro Navarro,1990-03-29,Cabuyao,585121,45,Health
Gabay Foundation for Education,Antonio Manalo,2020-01-01,Tarlac,151741,77,Arts & Culture
Tulong Charitable Foundation #235,Antonio Dela Cruz,1993-09-22,Malaybalay,1556605,46,Charitable
Pag-asa Network,Teresa Ramos,1993-07-09,Roxas,867923,20,Charitable
Luntiang Society #237,Daniel Dizon,1979-09-21,Cabuyao,153215,21,Research
Bayan Foundation for Youth of Butuan,Ramon Abalos,2024-09-25,Iloilo City,624932,16,Charitable
Kapit-bisig Trust #239,Daniel Alcantara,2011-08-27,Tagum,729854,19,Health
Pag-ibig Foundation for Education #240,Carmen Gonzales,1982-07-17,Caloocan,387401,200,Religious
Lingap Alliance,Lea Gonzales,1978-09-20,Makati,463665,42,Environmental
Luntiang Network - Dizon,Ella Bautista,2018-06-19,Olongapo,588633,6,Health
Bukas Community Trust #243,Maya Garcia,2007-03-22,Capiz,743753,24,Health
Pag-asa Society #244,Lea Ortega,2006-08-13,Baguio,127680,33,Human Rights
Sigla Initiative of Iloilo Province,Emilio Torres,2002-07-16,Antipolo,90850,25,Charitable
Dangal Fund #246,Grace Sison,2002-03-07,Davao City,50000,182,Arts & Culture
Luntiang Alliance #247,Roberto Gonzales,2010-10-18,Zamboanga City,787486,112,Charitable
Dangal Initiative,Daniel Navarro,2023-07-29,Quezon City,768667,516,Educational
Lingap Charitable Foundation #249,Ramon Torres,1981-04-19,Dipolog,744563,11,Arts & Culture
Kalinga Trust,Carlos Navarro,2019-09-21,Bacolod,72449,42,Educational
Bukas Initiative,Carlos Manalo,1990-11-26,Naga,634765,28,Educational
Kaagapay Foundation of Baguio,Aileen Garcia,1981-08-30,Malaybalay,252718,5,Community Development
Sampaguita Trust - Ramos,Aileen Dela Cruz,1981-10-28,Manila,593429,24,Charitable
Sigla Charitable Foundation,Jocelyn Torres,2022-10-30,Rizal,3149219,151,Environmental
Bayan Center,Miguel Santos,1981-05-16,Ilagan,342755,7,Microfinance
Haraya Council,Ana Bautista,1975-09-14,Marikina,313250,28,Microfinance
Gabayan Charitable Foundation,Teresa Delgado,2023-04-06,Antipolo,254010,22,Charitable
Gabayan Council #258,Cristina Ortega,1973-11-21,Sorsogon,141975,17,Charitable
Pag-ibig Network of Capiz,Juan Santos,2012-12-21,Lucena,180221,28,Educational
Haraya Foundation for Education,Ana Villanueva,2009-10-17,Cebu City,95612,580,Human Rights
Tulong Fund,Evelyn Garcia,1975-11-23,Taguig,2395284,121,Research
Paglaum Foundation for Youth #262,Daniel Salvador,2019-03-13,Bayawan,142489,15,Community Development
Makabayan Project,Evelyn Delgado,1996-06-16,Cavite City,527472,6,Educational
Haraya Trust - Magbanua,Ruben Gonzales,2019-06-19,Sorsogon,2260515,81,Charitable
Kalinga Project,Emilio Sison,1990-07-02,Olongapo,978671,34,Community Development
Gabayan Project of Olongapo,Maya Gonzales,1998-01-15,Tacloban,59361,36,Arts & Culture
Makabayan Foundation for Education #267,Miguel Dizon,1983-09-11,Cabuyao,57781,13,Religious
Aklat Trust #268,Jose Alcantara,1977-08-29,Zamboanga City,680436,44,Microfinance
Haraya Trust #269,Maya Bautista,2003-06-07,Taguig,67350,42,Arts & Culture
Pamana Foundation,Francis Cruz,2020-05-23,Naga,2179859,21,Charitable
Dangal Trust,Carmen Dizon,2007-12-11,Sorsogon,474919,40,Community Development
Lingap Alliance #272,Evelyn Villar,2001-07-19,Antipolo,390741,30,Educational
Kalinga Center of Koronadal,Lea Torres,1979-09-17,Batangas City,936915,21,Arts & Culture
Pamana Fund,Ana Navarro,1994-12-29,Dipolog,458787,1047,Human Rights
Haraya Society - Cruz,Rogelio Alcantara,2025-01-17,Cabuyao,198368,12,Charitable
Kapit-bisig Council,Juan Ortega,1993-12-29,Quezon City,95525244,31,Charitable
Sampaguita Alliance #277,Ruben Navarro,1997-09-20,Naga,126179,35,Charitable
Sigla Foundation,Liza Manalo,1982-11-08,Dipolog,133778,30,Health
Dangal Project,Jose Garcia,1972-10-01,Zamboanga City,523003,652,Educational
Kalinga Project of Olongapo,Emilio Lopez,1984-02-14,Tarlac,1131392,33,Religious
Pag-ibig Community Trust #281,Ramon Navarro,2020-12-02,Ormoc,277773,49,Arts & Culture
Tulong Help Fund,Maria Garcia,1984-02-15,Puerto Princesa,189126,161,Charitable
Kaagapay Foundation,Ella Reyes,1994-05-31,Iloilo Province,64846,112,Religious
Dangal Project #284,Lea Ortega,2009-08-28,Olongapo,1032842,72,Educational
Paglaum Initiative,Rogelio Delgado,1980-03-18,Batangas City,563066,1182,Environmental
Pag-ibig Foundation for Education - Ramos,Francis Villanueva,2017-04-10,Koronadal,291891,11,Research
Tahanan Project of Ormoc,Maria Dela Cruz,1988-05-04,Mandaluyong,308324,40,Community Development
Kalinga Charitable Foundation,Pedro Navarro,1992-12-03,Lipa,228949,43,Charitable
Makabayan Trust,Juan Villanueva,2008-08-20,Dasmariñas,1060248,32,Environmental
Bagong Project #290,Grace Castillo,1990-08-24,Iligan,1133129,47,Educational
Pamana Society,Ella Magbanua,2001-10-10,Cebu City,433951,40,Charitable
Luntiang Society #292,Maya Santos,2009-02-19,Quezon City,50000,1606,Community Development
Gabayan Help Fund #293,Jose Manalo,1998-02-01,Dipolog,735872,25,Religious
Luntiang Community Trust of Laguna,Carmen Villar,1980-05-02,Lucena,2474709,103,Educational
Bayan Fund,Liza Magbanua,2025-06-15,Cavite City,258815,26,Community Development
Malasakit Help Fund,Teresa Reyes,2009-03-07,Antipolo,2030018,17,Health
Bukas Project - Delgado,Jose Mendoza,1997-11-02,Ilagan,784284,28,Environmental
Makabayan Initiative,Ramon Navarro,1985-01-31,Cebu City,593011,14,Charitable
Sulong Foundation for Education,Ana Delgado,2015-10-02,Valenzuela,1844806,20,Charitable
Tatak Fund,Teresa Bautista,1983-04-02,Makati,81543,43,Research
Paglaum Initiative of Dasmariñas,Evelyn Garcia,1976-10-05,Dasmariñas,861008,39,Research
Tatak Foundation for Education,Lea Padilla,2020-07-29,Puerto Princesa,961187,1340,Health
Bukas Network,Ella Abalos,2020-08-23,Capiz,1469753,831,Community Development
Kapit-bisig Foundation for Youth,Ramon Manalo,1998-05-13,Cagayan de Oro,232389,25,Health
Gabayan Trust #305,Lea Padilla,1997-03-02,Baguio,1911344,13,Charitable
Bukas Foundation,Teresa Delgado,1976-08-28,Mandaluyong,196489,48,Charitable
Gabayan Network,Maria Santos,2003-01-30,Lipa,344098,23,Educational
Sulong Project - Padilla,Francis Cruz,1973-09-06,Iloilo Province,1107906,186,Research
Bukas Foundation for Education #309,Roberto Lopez,2024-04-11,Marikina,1706391,40,Community Development
Sulong Center #310,Maria Padilla,1979-04-15,Naga,638693,41,Community Development
Malasakit Trust,Mark Navarro,1985-06-25,Caloocan,187312,28,Research
Tahanan Community Trust,Emilio Padilla,2017-01-06,Mandaue,1342469,43,Charitable
Kaagapay Center,Teresa Dizon,1995-05-19,San Pablo,2353665,8,Charitable
Haraya Charitable Foundation,Ramon Ramos,2023-08-22,Davao City,9066984,6,Charitable
Makabayan Trust of Naga,Ana Cruz,2004-09-05,Lipa,1393536,17,Community Development
Paglaum Community Trust,Aileen Ramos,2024-01-27,Cagayan de Oro,129955,44,Research
Makabayan Trust #317,Francis Ramos,1982-09-09,Batangas City,3379766,50,Environmental
Pag-ibig Foundation for Education #318,Ruben Ramos,2005-03-01,Taguig,390525,48,Religious
